iter	RMSE
0	13142.40509
1	12956.02196
2	12771.13912
3	12594.70843
4	12420.03364
5	12287.9136
6	12113.44295
7	11927.38955
8	11780.00636
9	11658.07252
10	11538.44284
11	11363.95103
12	11227.05088
13	11091.52254
14	10959.5832
15	10841.39951
16	10658.59636
17	10516.30549
18	10412.7004
19	10301.33479
20	10173.40995
21	10048.87817
22	9907.312199
23	9814.816086
24	9668.416349
25	9580.00889
26	9487.931126
27	9392.037083
28	9286.603186
29	9161.136003
30	9065.071757
31	8988.020649
32	8905.527889
33	8835.837278
34	8713.907308
35	8635.594128
36	8544.773618
37	8448.045975
38	8375.013198
39	8284.049936
40	8202.322915
41	8110.659485
42	8022.550765
43	7944.787926
44	7857.882039
45	7762.561347
46	7696.926199
47	7641.361091
48	7579.910903
49	7514.455813
50	7440.131299
51	7386.62205
52	7323.550332
53	7285.350103
54	7228.881161
55	7184.168106
56	7115.261315
57	7051.466209
58	7005.385819
59	6959.520095
60	6910.484582
61	6865.429874
62	6774.593791
63	6734.217853
64	6678.758377
65	6625.596402
66	6574.755489
67	6536.931816
68	6469.111085
69	6425.306635
70	6407.663696
71	6342.249701
72	6302.81036
73	6270.06675
74	6234.417831
75	6187.652416
76	6123.822893
77	6088.054671
78	6025.555042
79	6007.688915
80	5966.869206
81	5936.764216
82	5901.266873
83	5863.984627
84	5835.732483
85	5793.646246
86	5761.566665
87	5728.355291
88	5696.572707
89	5689.434349
90	5656.845289
91	5615.593742
92	5585.186726
93	5566.096626
94	5538.479563
95	5509.460779
96	5484.284965
97	5451.221711
98	5411.178213
99	5376.423842
100	5351.061202
101	5316.60689
102	5309.030012
103	5294.623646
104	5262.49734
105	5246.802034
106	5213.925078
107	5201.802378
108	5188.254258
109	5170.16467
110	5140.238066
111	5082.046434
112	5046.316482
113	4993.888779
114	4977.927796
115	4955.822057
116	4928.327614
117	4897.213142
118	4876.622207
119	4850.155321
120	4843.096655
121	4818.761419
122	4797.505258
123	4781.297014
124	4761.536136
125	4746.895097
126	4721.048106
127	4703.706685
128	4683.377057
129	4661.209362
130	4634.480494
131	4618.660962
132	4607.240326
133	4583.172393
134	4572.636726
135	4544.783815
136	4515.563395
137	4501.572825
138	4478.396873
139	4458.339117
140	4448.360987
141	4414.772962
142	4402.599577
143	4396.167228
144	4372.950121
145	4355.285313
146	4339.671465
147	4334.956838
148	4321.653767
149	4305.924672
150	4287.590234
151	4279.968287
152	4263.743655
153	4240.159842
154	4226.895092
155	4210.639169
156	4198.686844
157	4188.223987
158	4180.531206
159	4171.441712
160	4153.102404
161	4136.337811
162	4122.941379
163	4106.458714
164	4084.489499
165	4059.241766
166	4038.065911
167	4021.801885
168	4011.104375
169	3994.407905
170	3989.898725
171	3970.933656
172	3958.860575
173	3945.607713
174	3928.322347
175	3904.665448
176	3891.122289
177	3877.980857
178	3867.529774
179	3850.441447
180	3835.263115
181	3816.842539
182	3808.673668
183	3799.60997
184	3793.792007
185	3788.221269
186	3760.9911
187	3743.322534
188	3728.231323
189	3707.786951
190	3697.783648
191	3680.995646
192	3670.748983
193	3661.876671
194	3653.127881
195	3637.662616
196	3629.064642
197	3606.343473
198	3595.387486
199	3583.059131
200	3559.051872
201	3548.761455
202	3533.547731
203	3518.613658
204	3512.728034
205	3490.923884
206	3476.660787
207	3456.704246
208	3442.667411
209	3430.185609
210	3422.836396
211	3409.845988
212	3388.779075
